"name","longitude","latitude","prov","date","key"
"Bradypus variegatus",-83.507595,8.675361,"gbif",2008-01-08,1584401725
"Bradypus variegatus",-83.072305,9.965681,"gbif",2007-01-06,1584402466
"Bradypus variegatus",-67.675458,-9.738954,"gbif",2007-07-17,1838049070
"Bradypus variegatus",-60.440919,-3.093658,"gbif",2006-11-19,891718692
"Bradypus variegatus",-83.505875,10.547559,"gbif",2004-03-21,920778733
"Bradypus variegatus",-82.431816,8.779967,"gbif",2004-08-16,920764239
"Bradypus variegatus",-85.061694,10.033703,"gbif",2003-12-26,1913682715
"Bradypus variegatus",-61.737671,-13.62797,"gbif",1999-10-08,920764799
"Bradypus variegatus",-78,8,"gbif",1994-12-17,1019040885
"Bradypus variegatus",-69.083,-13,"gbif",1992-05-01,197018790
"Bradypus variegatus",-69.295,-12.838,"gbif",1992-05-01,197018750
"Bradypus variegatus",-69.607,-13.142,"gbif",1992-05-01,197017582
"Bradypus variegatus",-79.85,-0.617,"gbif",1991-01-26,197017536
"Bradypus variegatus",-63.233333,-17.383333,"gbif",1991-06-27,1145273148
"Bradypus variegatus",-79.583,-1.333,"gbif",1991-07-06,197017531
"Bradypus variegatus",-79.967,-0.033,"gbif",1991-07-20,197017538
"Bradypus variegatus",-79.35,-2.567,"gbif",1991-07-10,197017524
"Bradypus variegatus",-76.4132,8.6347,"gbif",1989-04-01,1806451297
"Bradypus variegatus",-76.4126,8.8917,"gbif",1989-04-01,1806452006
"Bradypus variegatus",-52.67,-3.83,"gbif",1986-09-17,1319452209
"Bradypus variegatus",-63.316667,-17.216667,"gbif",1985-07-30,859432637
"Bradypus variegatus",-63.03333,-17.33333,"gbif",1984-08-10,1145344332
"Bradypus variegatus",-73.247,-3.025,"gbif",1982-08-05,45856897
"Bradypus variegatus",-77.751,-4.022,"gbif",1979-08-22,1145729652
"Bradypus variegatus",-78.16123,-4.45563,"gbif",1978-08-06,1145726763
"Bradypus variegatus",-73.776739,7.062086,"gbif",1976-06-07,1020746532
"Bradypus variegatus",-54.7,-2.43,"gbif",1975-04-05,1322316854
"Bradypus variegatus",-73.61776,8.252517,"gbif",1974-06-09,1020746499
"Bradypus variegatus",-73.673049,7.942319,"gbif",1971-08-12,1020746299
"Bradypus variegatus",-84.2697279987106,9.71814316138522,"gbif",1970-03-03,45856090
"Bradypus variegatus",-84.3180515345051,12.1715924579926,"gbif",1968-02-27,686443813
"Bradypus variegatus",-72.6,9.15,"gbif",1968-03-29,1322668047
"Bradypus variegatus",-71.216667,-10.133333,"gbif",1968-06-25,1145706042
"Bradypus variegatus",-80,9.15,"gbif",1967-01-06,911634172
"Bradypus variegatus",-66.22,5.3,"gbif",1967-07-11,1318628715
"Bradypus variegatus",-77.68333,8.18333,"gbif",1967-11-02,1145705440
"Bradypus variegatus",-68.38,10.53,"gbif",1966-03-22,1317212864
"Bradypus variegatus",-77.07849,3.59422,"gbif",1965-07-01,784006601
"Bradypus variegatus",-48.4833,-1.45,"gbif",1965-08-12,1039523210
"Bradypus variegatus",-76.66111,5.69472,"gbif",1965-01-01,784005750
"Bradypus variegatus",-84.657326385565,13.9908601013831,"gbif",1964-02-18,686425267
"Bradypus variegatus",-77.3,8.17,"gbif",1964-03-11,1322884723
"Bradypus variegatus",-84.3167382730257,9.3543222864282,"gbif",1963-01-08,1065365988
"Bradypus variegatus",-79.467,0.333,"gbif",1963-06-08,919417369
"Bradypus variegatus",-79.69368,0.22522,"gbif",1963-11-25,919420832
