"","name","longitude","latitude","prov","date","key"
"154","Bradypus variegatus",-82.52,9.45,"gbif","1960-03-09",1322425709
"155","Bradypus variegatus",-55.299999,-3.466667,"gbif","1959-04-23",665730402
"156","Bradypus variegatus",-79.35,9.23,"gbif","1958-02-02",1319404741
"157","Bradypus variegatus",-77.983,-1.467,"gbif","1958-04-12",919440176
"158","Bradypus variegatus",-77.683333,2.866667,"gbif","1958-05-19",665747524
"159","Bradypus variegatus",-76.946678,5.047172,"gbif","1958-10-01",665720933
"160","Bradypus variegatus",-76.7089,7.98178,"gbif","1958-12-01",1315028691
"161","Bradypus variegatus",-77.349998,-3.7,"gbif","1957-03-27",665885572
"162","Bradypus variegatus",-79.08,9.48,"gbif","1957-05-09",1318076490
"163","Bradypus variegatus",-76.683333,5.1,"gbif","1956-06-09",665734016
"164","Bradypus variegatus",-74.216667,-4.833333,"gbif","1956-11-19",665882533
"165","Bradypus variegatus",-76.95,3.733333,"gbif","1956-12-26",665904270
"166","Bradypus variegatus",-75.333333,0.466667,"gbif","1952-03-11",665833215
"167","Bradypus variegatus",-75.083333,9.95,"gbif","1949-01-23",665831277
"168","Bradypus variegatus",-75.35,9.5,"gbif","1949-06-01",665831279
"169","Bradypus variegatus",-75.683333,8.283333,"gbif","1949-07-30",665831282
"170","Bradypus variegatus",-69.683333,-13.516667,"gbif","1940-02-02",476817718
"171","Bradypus variegatus",-64.416664,-16,"gbif","1937-02-10",665816781
"172","Bradypus variegatus",-79.561029,8.961795,"gbif","1936-04-15",1145101158
"173","Bradypus variegatus",-62.083332,-3.833333,"gbif","1936-07-03",665815802
"174","Bradypus variegatus",-79.85,8.53333,"gbif","1933-04-01",1065377914
"175","Bradypus variegatus",-48.89176,-1.540276,"gbif","1932-01-30",476817713
"176","Bradypus variegatus",-83.699997,9.383333,"gbif","1932-01-01",1145891864
"177","Bradypus variegatus",-49,-3,"gbif","1932-12-10",1039515241
"178","Bradypus variegatus",-77.316666,-0.633333,"gbif","1929-02-12",665800413
"179","Bradypus variegatus",-77.812856,-0.993799,"gbif","1929-07-04",476818320
"180","Bradypus variegatus",-49.5,-1,"gbif","1923-05-15",665803940
"181","Bradypus variegatus",-76.050003,-5.833333,"gbif","1912-09-27",665789113
"182","Bradypus variegatus",-52.59256,-6.14058,"gbif","1906-02-16",865718046
"183","Bradypus variegatus",-85.10798,15.4389,"gbif","1818-06-20",1145688678
"184","bradypus_variegatus",-46.7333,-23.45,"literature",NA,NA
"185","bradypus_variegatus",-44.71667,-23.21667,"literature",NA,NA
"186","bradypus_variegatus",-46.61667,-20.71667,"literature",NA,NA
"187","bradypus_variegatus",-40.0667,-19.3333,"literature",NA,NA
"188","bradypus_variegatus",-63.1667,-17.8,"literature",NA,NA
"189","bradypus_variegatus",-63.6667,-17.45,"literature",NA,NA
"190","bradypus_variegatus",-63.85,-17.4,"literature",NA,NA
"191","bradypus_variegatus",-65.1333,-16.8,"literature",NA,NA
"192","bradypus_variegatus",-64.4167,-16,"literature",NA,NA
"193","bradypus_variegatus",-65.4,-10.3833,"literature",NA,NA
"194","bradypus_variegatus",-65.3833,-10.3833,"literature",NA,NA
"195","bradypus_variegatus",-36.36667,-10.1667,"literature",NA,NA
"196","bradypus_variegatus",-49.5,-10,"literature",NA,NA
"197","bradypus_variegatus",-36.08333,-9.7667,"literature",NA,NA
"198","bradypus_variegatus",-74.5333,-8.3833,"literature",NA,NA
"199","bradypus_variegatus",-75.1,-6.7333,"literature",NA,NA
"200","bradypus_variegatus",-76.05,-5.8333,"literature",NA,NA
"201","bradypus_variegatus",-74.2167,-4.8333,"literature",NA,NA
"202","bradypus_variegatus",-74.2167,-4.7,"literature",NA,NA
"203","bradypus_variegatus",-77.1167,-4.65,"literature",NA,NA
"204","bradypus_variegatus",-69.95,-4.15,"literature",NA,NA
"205","bradypus_variegatus",-77.1333,-4.03333,"literature",NA,NA
"206","bradypus_variegatus",-62.0833,-3.8333,"literature",NA,NA
"207","bradypus_variegatus",-52.6667,-3.8333,"literature",NA,NA
"208","bradypus_variegatus",-73.25,-3.7667,"literature",NA,NA
"209","bradypus_variegatus",-79.65,-3.7167,"literature",NA,NA
"210","bradypus_variegatus",-59.1333,-3.7,"literature",NA,NA
"211","bradypus_variegatus",-55.5,-3.6667,"literature",NA,NA
"212","bradypus_variegatus",-73.05,-3.4667,"literature",NA,NA
"213","bradypus_variegatus",-55.2833,-3.45,"literature",NA,NA
"214","bradypus_variegatus",-72.1333,-3.4333,"literature",NA,NA
"215","bradypus_variegatus",-72.1,-3.3167,"literature",NA,NA
"216","bradypus_variegatus",-58.25,-3.3,"literature",NA,NA
"217","bradypus_variegatus",-60.0833,-3.1333,"literature",NA,NA
"218","bradypus_variegatus",-60.0167,-3.1333,"literature",NA,NA
"219","bradypus_variegatus",-55.1,-3.0833,"literature",NA,NA
"220","bradypus_variegatus",-58,-3,"literature",NA,NA
"221","bradypus_variegatus",-55.1333,-2.8333,"literature",NA,NA
"222","bradypus_variegatus",-54.9833,-2.75,"literature",NA,NA
"223","bradypus_variegatus",-49.6833,-2.6833,"literature",NA,NA
"224","bradypus_variegatus",-54.95,-2.63333,"literature",NA,NA
"225","bradypus_variegatus",-56.7333,-2.6,"literature",NA,NA
"226","bradypus_variegatus",-50.71667,-2.6,"literature",NA,NA
"227","bradypus_variegatus",-49.5,-2.5833,"literature",NA,NA
"228","bradypus_variegatus",-55,-2.4333,"literature",NA,NA
"229","bradypus_variegatus",-45.15,-2.4333,"literature",NA,NA
"230","bradypus_variegatus",-54.7,-2.4333,"literature",NA,NA
"231","bradypus_variegatus",-60.96667,-2.36667,"literature",NA,NA
"232","bradypus_variegatus",-74.0833,-2.3667,"literature",NA,NA
"233","bradypus_variegatus",-49.5,-2.25,"literature",NA,NA
"234","bradypus_variegatus",-55.55,-1.9167,"literature",NA,NA
"235","bradypus_variegatus",-55.51667,-1.9167,"literature",NA,NA
"236","bradypus_variegatus",-65.3667,-1.8,"literature",NA,NA
"237","bradypus_variegatus",-52.2,-1.7,"literature",NA,NA
"238","bradypus_variegatus",-79.75,-1.5333,"literature",NA,NA
"239","bradypus_variegatus",-77.95,-1.4833,"literature",NA,NA
"240","bradypus_variegatus",-48.48333,-1.45,"literature",NA,NA
"242","bradypus_variegatus",-77.1333,-0.7,"literature",NA,NA
"243","bradypus_variegatus",-64.8333,-0.5167,"literature",NA,NA
"244","bradypus_variegatus",-79.6,-0.4667,"literature",NA,NA
"245","bradypus_variegatus",-79.15,-0.25,"literature",NA,NA
"246","bradypus_variegatus",-74.7667,-0.2,"literature",NA,NA
"247","bradypus_variegatus",-79.4667,0.3333,"literature",NA,NA
"248","bradypus_variegatus",-75.3333,0.4667,"literature",NA,NA
"249","bradypus_variegatus",-78.15,1.6833,"literature",NA,NA
"250","bradypus_variegatus",-75.3333,2.1333,"literature",NA,NA
"251","bradypus_variegatus",-77.68333,2.86667,"literature",NA,NA
"252","bradypus_variegatus",-65.08333,3.0833,"literature",NA,NA
"253","bradypus_variegatus",-65.9167,3.0833,"literature",NA,NA
"254","bradypus_variegatus",-65.55,3.1667,"literature",NA,NA
"255","bradypus_variegatus",-77.0833,3.6833,"literature",NA,NA
"256","bradypus_variegatus",-67.9333,3.8667,"literature",NA,NA
"257","bradypus_variegatus",-76.9333,4,"literature",NA,NA
"258","bradypus_variegatus",-73.6167,4.15,"literature",NA,NA
"259","bradypus_variegatus",-74.3,4.5833,"literature",NA,NA
"260","bradypus_variegatus",-76.95,5.05,"literature",NA,NA
"261","bradypus_variegatus",-76.6833,5.1,"literature",NA,NA
"262","bradypus_variegatus",-66.2167,5.3,"literature",NA,NA
"263","bradypus_variegatus",-76.6667,5.7,"literature",NA,NA
"264","bradypus_variegatus",-75.5833,6.25,"literature",NA,NA
"265","bradypus_variegatus",-76.2667,7.0167,"literature",NA,NA
"266","bradypus_variegatus",-77.7667,7.1167,"literature",NA,NA
"267","bradypus_variegatus",-73.9167,7.1667,"literature",NA,NA
"268","bradypus_variegatus",-75.05,7.35,"literature",NA,NA
"269","bradypus_variegatus",-77.1667,7.6667,"literature",NA,NA
"270","bradypus_variegatus",-76.2833,7.85,"literature",NA,NA
"271","bradypus_variegatus",-72.5167,7.9,"literature",NA,NA
"272","bradypus_variegatus",-78.3667,7.9667,"literature",NA,NA
"273","bradypus_variegatus",-77.4333,7.9833,"literature",NA,NA
"274","bradypus_variegatus",-77.6,8,"literature",NA,NA
"275","bradypus_variegatus",-78.61667,8.0167,"literature",NA,NA
"276","bradypus_variegatus",-77.1167,8.0167,"literature",NA,NA
"277","bradypus_variegatus",-76.7167,8.1,"literature",NA,NA
"278","bradypus_variegatus",-77.75,8.1,"literature",NA,NA
"279","bradypus_variegatus",-77.7333,8.1333,"literature",NA,NA
"280","bradypus_variegatus",-77.3,8.1667,"literature",NA,NA
"281","bradypus_variegatus",-75.6833,8.2833,"literature",NA,NA
"282","bradypus_variegatus",-72.5833,8.5,"literature",NA,NA
"283","bradypus_variegatus",-79.8,8.8667,"literature",NA,NA
"284","bradypus_variegatus",-79.6,8.9,"literature",NA,NA
"285","bradypus_variegatus",-81.8,8.9333,"literature",NA,NA
"286","bradypus_variegatus",-83.4667,8.95,"literature",NA,NA
"287","bradypus_variegatus",-79.5833,8.95,"literature",NA,NA
"288","bradypus_variegatus",-74.7333,9.1167,"literature",NA,NA
